id,item_id,dept_id,cat_id,store_id,state_id,day,demand,date,wm_yr_wk,event_name_1,snap_CA,snap_TX,snap_WI,sku_store,sell_price,lag_7,lag_14,lag_28,price_change,rolling_mean_7,rolling_std_7,event_flag,snap,week,month,year,intermittent_flag
FOODS_2_166_CA_1_validation,FOODS_2_166,FOODS_2,FOODS,CA_1,CA,d_47,1,2011-03-16,11107,LentWeek2,0,0,0,FOODS_2_166_CA_1,2.34,0.0,1.0,3.0,0.0,1.1428571428571428,1.772810520855837,1,0,11,3,2011,0
FOODS_2_382_CA_1_validation,FOODS_2_382,FOODS_2,FOODS,CA_1,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,FOODS_2_382_CA_1,3.25,2.0,0.0,1.0,0.0,0.7142857142857143,0.7559289460184552,1,0,11,3,2011,1
FOODS_3_096_CA_1_validation,FOODS_3_096,FOODS_3,FOODS,CA_1,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,FOODS_3_096_CA_1,4.38,1.0,1.0,0.0,0.0,0.7142857142857143,0.7559289460184552,1,0,11,3,2011,1
HOBBIES_1_178_CA_2_validation,HOBBIES_1_178,HOBBIES_1,HOBBIES,CA_2,CA,d_47,2,2011-03-16,11107,LentWeek2,0,0,0,HOBBIES_1_178_CA_2,0.42,1.0,0.0,0.0,0.0,0.7142857142857143,0.7559289460184552,1,0,11,3,2011,1
HOBBIES_2_116_CA_2_validation,HOBBIES_2_116,HOBBIES_2,HOBBIES,CA_2,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,HOBBIES_2_116_CA_2,2.97,0.0,0.0,0.0,0.0,0.5714285714285714,0.7867957924694439,1,0,11,3,2011,1
FOODS_3_030_CA_2_validation,FOODS_3_030,FOODS_3,FOODS,CA_2,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,FOODS_3_030_CA_2,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.7867957924694439,1,0,11,3,2011,1
HOBBIES_2_034_CA_3_validation,HOBBIES_2_034,HOBBIES_2,HOBBIES,CA_3,CA,d_47,1,2011-03-16,11107,LentWeek2,0,0,0,HOBBIES_2_034_CA_3,2.47,0.0,0.0,0.0,0.0,0.5714285714285714,0.7867957924694439,1,0,11,3,2011,1
HOUSEHOLD_2_234_CA_3_validation,HOUSEHOLD_2_234,HOUSEHOLD_2,HOUSEHOLD,CA_3,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,HOUSEHOLD_2_234_CA_3,5.94,0.0,0.0,0.0,0.0,0.5714285714285714,0.7867957924694439,1,0,11,3,2011,1
HOUSEHOLD_2_383_CA_3_validation,HOUSEHOLD_2_383,HOUSEHOLD_2,HOUSEHOLD,CA_3,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,HOUSEHOLD_2_383_CA_3,3.97,0.0,0.0,0.0,0.0,0.2857142857142857,0.4879500364742679,1,0,11,3,2011,1
FOODS_1_183_CA_3_validation,FOODS_1_183,FOODS_1,FOODS,CA_3,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,FOODS_1_183_CA_3,2.88,6.0,8.0,8.0,0.0,1.0,2.23606797749979,1,0,11,3,2011,0
FOODS_3_161_CA_3_validation,FOODS_3_161,FOODS_3,FOODS,CA_3,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,FOODS_3_161_CA_3,1.98,0.0,0.0,0.0,0.0,0.8571428571428571,2.267786838055364,1,0,11,3,2011,1
FOODS_3_765_CA_3_validation,FOODS_3_765,FOODS_3,FOODS,CA_3,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,FOODS_3_765_CA_3,2.58,1.0,1.0,3.0,0.0,1.0,2.23606797749979,1,0,11,3,2011,0
HOUSEHOLD_2_062_CA_4_validation,HOUSEHOLD_2_062,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,HOUSEHOLD_2_062_CA_4,2.78,0.0,0.0,0.0,0.0,1.0,2.23606797749979,1,0,11,3,2011,0
HOUSEHOLD_2_253_CA_4_validation,HOUSEHOLD_2_253,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,d_47,0,2011-03-16,11107,LentWeek2,0,0,0,HOUSEHOLD_2_253_CA_4,5.48,0.0,0.0,0.0,0.0,1.0,2.23606797749979,1,0,11,3,2011,0
FOODS_2_126_CA_4_validation,FOODS_2_126,FOODS_2,FOODS,CA_4,CA,d_47,1,2011-03-16,11107,LentWeek2,0,0,0,FOODS_2_126_CA_4,4.18,0.0,1.0,0.0,0.0,1.0,2.23606797749979,1,0,11,3,2011,0
